profile,concurrency,variant,rep,p50_ms,p95_ms,p99_ms,throughput_rps,error_rate_pct
mixed,10,django,1,1014.263,2032.0884999999998,n/a,5.045159063921677,0
mixed,10,django,2,1054.078,2504.4802,n/a,4.602953594886135,0
mixed,10,django,3,1030.3615,2093.25615,n/a,5.286949510006333,0
mixed,200,django,1,60002.3715,60011.41605,n/a,3.1595898641716977,72.57383966244726
mixed,200,django,2,59996.9865,60002.24775,n/a,3.275410831709924,100
mixed,200,django,3,59998.322,60002.0136,n/a,3.2772825972189294,100
mixed,50,django,1,9672.261,12500.58325,n/a,4.535072715325481,0
mixed,50,django,2,10965.196,29206.27,n/a,3.5006874268348813,0
mixed,50,django,3,19789.706,29957.0474,n/a,2.2088955288923358,0
read-heavy,10,django,1,39.042500000000004,93.71784999999996,n/a,9.452232782218863,0
read-heavy,10,django,2,52.574,108.64005,n/a,9.419700040063471,0
read-heavy,10,django,3,55.834,145.02669999999998,n/a,9.305450304163932,0
read-heavy,200,django,1,47630.287,51401.054149999996,n/a,3.9464225409682827,0
read-heavy,200,django,2,47472.926,59700.617399999996,n/a,3.419715821615224,4.678362573099415
read-heavy,200,django,3,46919.797,58940.773,n/a,3.7398388877407163,4.09982174688057
read-heavy,50,django,1,10478.557,13429.121700000002,n/a,4.174988511686353,0
read-heavy,50,django,2,10574.716,13829.065999999999,n/a,4.142289929442143,0
read-heavy,50,django,3,10617.995,13252.615600000001,n/a,4.268048742660239,0
write-heavy,10,django,1,24.567,308.9698999999998,n/a,9.258023573714494,0
write-heavy,10,django,2,25.7775,405.3080499999998,n/a,9.072991622653982,0
write-heavy,10,django,3,31.288,650.4973999999999,n/a,8.70413950806695,0
write-heavy,200,django,1,13411.081999999999,16877.23225,n/a,13.374697688826174,0
write-heavy,200,django,2,13823.354500000001,22551.8939,n/a,12.08409173745371,0
write-heavy,200,django,3,15383.710500000001,21335.867449999998,n/a,11.653209418982959,0
write-heavy,50,django,1,2328.6629999999996,4256.729949999999,n/a,14.587980540419844,0
write-heavy,50,django,2,2402.032,4994.4644,n/a,13.44982646880674,0
write-heavy,50,django,3,2673.587,4859.0346,n/a,12.893303495310311,0
mixed,10,supabase,1,207.718,1378.515899999999,n/a,7.3170627485398745,0
mixed,10,supabase,2,204.237,1185.9627999999977,n/a,7.447560674258624,0
mixed,10,supabase,3,221.639,1521.7161,n/a,7.103046865994075,0
mixed,200,supabase,1,12979.196,45363.30470000001,n/a,10.276756971401793,2.073255010366275
mixed,200,supabase,2,12967.898,51926.67130000001,n/a,9.803361253805658,3.172314347512617
mixed,200,supabase,3,92.763,20338.375599999996,n/a,50.94022877712629,85.19779507133592
mixed,50,supabase,1,2261.34,8574.2805,n/a,11.76473984941085,0
mixed,50,supabase,2,2718.795,9742.355199999993,n/a,10.611004842541604,0
mixed,50,supabase,3,2864.403,10296.910599999996,n/a,10.089047214632805,0
read-heavy,10,supabase,1,106.482,184.38809999999987,n/a,8.875905462078649,0
read-heavy,10,supabase,2,121.1875,187.73934999999994,n/a,8.835675624147997,0
read-heavy,10,supabase,3,150.73950000000002,251.42849999999999,n/a,8.591303009122843,0
read-heavy,200,supabase,1,3459.7884999999997,14543.799949999991,n/a,32.8911945909937,0
read-heavy,200,supabase,2,3502.193,14787.726199999992,n/a,32.44577819560005,0
read-heavy,200,supabase,3,3539.1565,14534.587849999994,n/a,32.17027896639651,0
read-heavy,50,supabase,1,289.197,618.187,n/a,37.57817966848614,0
read-heavy,50,supabase,2,448.595,778.8059,n/a,34.293690805247195,0
read-heavy,50,supabase,3,563.947,929.9011999999993,n/a,32.001232010365335,0
write-heavy,10,supabase,1,101.832,279.7849499999999,n/a,8.715000395110335,0
write-heavy,10,supabase,2,96.315,288.2588999999999,n/a,8.702947614869268,0
write-heavy,10,supabase,3,101.6195,328.1989,n/a,8.656177281412603,0
write-heavy,200,supabase,1,5062.042,18965.731199999973,n/a,24.311727025417962,0
write-heavy,200,supabase,2,6032.9775,22737.283849999993,n/a,20.39009958265643,0.03671071953010279
write-heavy,200,supabase,3,6914.724,25964.371,n/a,18.377756405127737,0.08061265618702136
write-heavy,50,supabase,1,128.125,1385.1068000000005,n/a,37.2433631138749,0
write-heavy,50,supabase,2,468.846,3124.728999999999,n/a,26.590715895795185,0
write-heavy,50,supabase,3,424.8415,3277.35275,n/a,26.31220049022419,0
