profile,concurrency,variant,p50_ms,p95_ms,throughput_rps,error_rate_pct
read-heavy,10,supabase,219–228,300–360,8.1–8.2,0.0–0.0
read-heavy,10,django,296–304,367–535,7.6–7.8,0.0–0.0
read-heavy,50,supabase,1098–1141,2561–2676,21.4–21.7,0.0–0.0
read-heavy,50,django,515–544,1496–1502,29.6–30.2,0.0–0.0
read-heavy,200,supabase,5622–6708,23424–28021,18.6–21.1,0.0–0.1
read-heavy,200,django,4170–4469,12194–13053,27.4–29.5,0.0–0.1
write-heavy,10,supabase,98–100,254–273,8.7–8.7,0.0–0.0
write-heavy,10,django,97–98,409–418,8.6–8.6,0.0–0.0
write-heavy,50,supabase,104–110,452–723,40.4–42.4,0.0–0.0
write-heavy,50,django,147–196,1013–1123,36.6–37.7,0.0–0.0
write-heavy,200,supabase,1951–2258,7434–9173,47.5–53.2,0.0–0.0
write-heavy,200,django,3295–3503,5366–5747,37.1–41.7,0.0–0.0
mixed,10,supabase,214–230,339–405,8.1–8.2,0.0–0.0
mixed,10,django,242–251,357–370,8.3–8.3,0.0–0.0
mixed,50,supabase,770–930,1472–1911,25.1–27.5,0.0–0.0
mixed,50,django,338–485,1281–2001,31.3–32.1,0.0–0.0
mixed,200,supabase,4198–4868,17198–20110,24.6–28.3,0.0–0.0
mixed,200,django,3899–4452,8435–13799,29.4–31.7,0.0–0.0
