profile,concurrency,variant,rep,p50_ms,p95_ms,throughput_rps,error_rate_pct
mixed,10,django,1,179.382,4820.4402,3.6900461548097683,0
mixed,10,django,2,1584.9225000000001,5427.115199999998,3.412445575758624,0
mixed,10,django,3,2299.381,5122.031799999994,3.3217117548971107,0
mixed,200,django,1,35741.715,60002.664,4.1196101750211715,24.919093851132686
mixed,200,django,2,32187.834000000003,60003.001749999996,4.306382502839913,26.160990712074305
mixed,200,django,3,33966.538,60003.2884,4.319486211513428,24.228395061728396
mixed,50,django,1,8391.008,37483.00419999997,3.5435697980596292,0.8247422680412372
mixed,50,django,2,7468.571,41202.7972,3.56270219026448,1.0351966873706004
mixed,50,django,3,7279.3105,36668.57495,3.5354835150630293,0.8264462809917356
read-heavy,10,django,1,145.815,430.02179999999925,8.473153820827497,0
read-heavy,10,django,2,0,256.22735,4.753242338553826,83.44947735191639
read-heavy,10,django,3,0,0,9.976972233529226,100
read-heavy,200,django,1,9027.964,22235.428599999992,17.56783549549144,0.04349717268377556
read-heavy,200,django,2,11062.809,22507.34079999999,14.909999296355355,0
read-heavy,200,django,3,12029.732,32346.365899999975,12.510007820868315,0.4742145820983995
read-heavy,50,django,1,0,489.507,44.78499403149573,79.00421014094819
read-heavy,50,django,2,436.661,947.9387999999987,33.61766795835093,0
read-heavy,50,django,3,1030.393,2498.3674499999984,23.594135258230274,0
write-heavy,10,django,1,92.352,661.4019,8.307141076220335,0
write-heavy,10,django,2,101.57900000000001,747.0880999999998,8.099605724528047,0
write-heavy,10,django,3,101.126,843.0966,8.026592438276513,0
write-heavy,200,django,1,8013.036,48009.39134999998,12.33274078624769,2.810810810810811
write-heavy,200,django,2,7520.039,60001.694800000005,11.585398065578486,5.983889528193326
write-heavy,200,django,3,9808.082,60001.5656,10.432529611252082,5.559105431309904
write-heavy,50,django,1,834.986,3714.483199999996,20.464555656989557,0
write-heavy,50,django,2,1017.316,7213.149,16.29538647852681,0
write-heavy,50,django,3,1041.4254999999998,12574.48725,12.430285664304497,0
mixed,10,supabase,1,208.227,2982.98805,6.38341119139486,0
mixed,10,supabase,2,243.3795,3408.3857000000003,5.791456090323614,0
mixed,10,supabase,3,244.1055,3197.55375,6.078347437801782,0
mixed,200,supabase,1,16451.321,59195.165349999996,8.26419517520134,18.078175895765472
mixed,200,supabase,2,16243.977,59152.8395,8.433147544104637,17.42605915267786
mixed,200,supabase,3,18370.864999999998,60000.0928,7.49919493045806,20.46678635547576
mixed,50,supabase,1,5527.823,17089.05779999997,6.344048121954368,16.887816646562122
mixed,50,supabase,2,4190.766,15098.524,7.524565924398024,13.96534148827727
mixed,50,supabase,3,3917.929,14935.1845,7.368191775622823,13.903192584963955
read-heavy,10,supabase,1,207.448,684.1009999999989,7.912575398324532,0
read-heavy,10,supabase,2,204.8675,700.7615000000001,7.901219940093877,0
read-heavy,10,supabase,3,206.52100000000002,928.6991499999968,7.809098965232344,0
read-heavy,200,supabase,1,7353.485,28799.551399999993,16.980022210375694,0.26327336551118913
read-heavy,200,supabase,2,6536.248,25522.104699999985,18.898930467741987,0.03933910306845004
read-heavy,200,supabase,3,7449.226,27911.373949999987,17.708277514105646,0.1282051282051282
read-heavy,50,supabase,1,1030.895,6159.532999999998,17.854182014743415,0
read-heavy,50,supabase,2,1131.8085,6196.492600000002,17.670426968141566,0
read-heavy,50,supabase,3,1002.251,5832.755699999997,19.41057840796286,0
write-heavy,10,supabase,1,111.619,1439.7131999999995,7.5864407362910145,0
write-heavy,10,supabase,2,107.008,1576.2607999999987,7.671884547403282,0
write-heavy,10,supabase,3,98.617,1415.8708999999997,7.750936677683051,0
write-heavy,200,supabase,1,10209.859,38431.91385,12.400878663384393,0.9389671361502347
write-heavy,200,supabase,2,14242.795,46946.30159999998,10.510607858875966,2.830856334041047
write-heavy,200,supabase,3,9841.012,39605.59299999998,12.428792382814672,5.119255381035486
write-heavy,50,supabase,1,1693.123,7988.005699999996,12.872622694240878,0
write-heavy,50,supabase,2,1358.05,8241.196,14.429442149630491,0
write-heavy,50,supabase,3,2008.181,10143.486800000002,11.645784948649352,2.8629856850715747
